preverb,verb,grammatical,ungrammatical,grammatical_context,ungrammatical_context,grammatical_context_adverb,ungrammatical_context_adverb,grammatical_context_adverb2,ungrammatical_context_adverb2
fel,menteni,Nem mentette fel,Nem felmentette,Nem mentette fel a gyors játékost,Nem felmentette a gyors játékost,Nem bármikor mentette fel a gyors játékost,Nem bármikor felmentette a gyors játékost,Nem is pont bármikor mentette fel a gyors játékost,Nem is pont bármikor felmentette a gyors játékost
meg,valósít,Nem valósít meg,Nem megvalósít,Nem valósít meg egy régi álmot,Nem megvalósít egy régi álmot,Nem azért valósít meg egy régi álmot,Nem azért megvalósít egy régi álmot,Nem pont csak azért valósít meg egy régi álmot,Nem pont csak azért megvalósít egy régi álmot
ki,használja,Ne használja ki,Ne kihasználja,Ne használja ki a kedvező helyzetet,Ne kihasználja a kedvező helyzetet,Ne akkoriban használja ki a kedvező helyzetet,Ne akkoriban kihasználja a kedvező helyzetet,Ne akkoriban sem használja ki a kedvező helyzetet,Ne akkoriban sem kihasználja a kedvező helyzetet
meg,felelt,Nem felelt meg,Nem megfelelt,Ő nem felelt meg a magas elvárásoknak,Ő nem megfelelt a magas elvárásoknak,Ő nem holnap felelt meg a magas elvárásoknak,Ő nem holnap megfelelt a magas elvárásoknak,Ő nem holnap éppen felelt meg a magas elvárásoknak,Ő nem holnap éppen megfelelt a magas elvárásoknak
be,szervezte,Nem szervezte be,Nem beszervezte,Nem szervezte be az új szakértőt,Nem beszervezte az új szakértőt,Nem időközben szervezte be az új szakértőt,Nem időközben beszervezte az új szakértőt,Nem időközben már szervezte be az új szakértőt,Nem időközben már beszervezte az új szakértőt
ki,pukkadt,Nem pukkadt ki,Nem kipukkadt,Végre nem pukkadt ki a piros lufi,Végre nem kipukkadt a piros lufi,Végre nem hiába pukkadt ki a piros lufi,Végre nem hiába kipukkadt a piros lufi,Végre nem hiába talán pukkadt ki a piros lufi,Végre nem hiába talán kipukkadt a piros lufi
alá,támasztotta,Nem támasztotta alá,Nem alátámasztotta,Ő nem támasztotta alá a merész állítását,Ő nem alátámasztotta a merész állítását,Ő nem ezért támasztotta alá a merész állítását,Ő nem ezért alátámasztotta a merész állítását,Ő nem ezért ugyan támasztotta alá a merész állítását,Ő nem ezért ugyan alátámasztotta a merész állítását
be,mutassák,Ne mutassák be,Ne bemutassák,Kérlek ne mutassák be a fiatal új kollégát,Kérlek ne bemutassák a fiatal új kollégát,Kérlek ne azóta mutassák be a fiatal új kollégát,Kérlek ne azóta bemutassák a fiatal új kollégát,Kérlek ne azóta pont mutassák be a fiatal új kollégát,Kérlek ne azóta pont bemutassák a fiatal új kollégát
meg,felezné,Nem felezné meg,Nem megfelezné,Ő nem felezné el a nagy tortát,Ő nem elfelezné a nagy tortát,Ő nem holnap felezné el a nagy tortát,Ő nem holnap elfelezné a nagy tortát,Ő nem holnap is felezné el a nagy tortát,Ő nem holnap is elfelezné a nagy tortát
el,szabadultak,Nem szabadultak el,Nem elszabadultak,Még nem szabadultak el az első foglyok,Még nem elszabadultak az első foglyok,Még nem azután szabadultak el az első foglyok,Még nem azután elszabadultak az első foglyok,Még nem azután csak szabadultak el az első foglyok,Még nem azután csak elszabadultak az első foglyok
meg,újítja,Nem újítja meg,Nem megújítja,Nem újítja meg a régi házat,Nem megújítja a régi házat,Nem emiatt újítja meg a régi házat,Nem emiatt megújítja a régi házat,Nem emiatt sem újítja meg a régi házat,Nem emiatt sem megújítja a régi házat
fel,mondani,Nem mondani fel,Nem felmondani,Szeretném nem mondani fel a biztos állást,Szeretném nem felmondani a biztos állást,Szeretném nem holnap mondani fel a biztos állást,Szeretném nem holnap felmondani a biztos állást,Szeretném nem holnap már mondani fel a biztos állást,Szeretném nem holnap már felmondani a biztos állást
fel,torlódtak,Nem torlódtak fel,Nem feltorlódtak,Még nem torlódtak fel a nehéz kérdések,Még nem feltorlódtak a nehéz kérdések,Még nem mindig torlódtak fel a nehéz kérdések,Még nem mindig feltorlódtak a nehéz kérdések,Még nem mindig éppen torlódtak fel a nehéz kérdések,Még nem mindig éppen feltorlódtak a nehéz kérdések
fel,kerekedett,Nem kerekedett fel,Nem felkerekedett,Most nem kerekedett fel az erős szél,Most nem felkerekedett az erős szél,Most nem aznap kerekedett fel az erős szél,Most nem aznap felkerekedett az erős szél,Most nem aznap talán kerekedett fel az erős szél,Most nem aznap talán felkerekedett az erős szél
ki,lép,Nem lép ki,Nem kilép,Nem lép ki a nagy szobából,Nem kilép a nagy szobából,Nem aztán lép ki a nagy szobából,Nem aztán kilép a nagy szobából,Nem aztán pont lép ki a nagy szobából,Nem aztán pont kilép a nagy szobából
ki,tette,Nem tette ki,Nem kitette,Nem tette ki a szép virágot,Nem kitette a szép virágot,Nem azután tette ki a szép virágot,Nem azután kitette a szép virágot,Nem azután is tette ki a szép virágot,Nem azután is kitette a szép virágot
ki,derült,Nem derült ki,Nem kiderült,Még nem derült ki a teljes igazság,Még nem kiderült a teljes igazság,Még nem mindjárt derült ki a teljes igazság,Még nem mindjárt kiderült a teljes igazság,Még nem mindjárt sem derült ki a teljes igazság,Még nem mindjárt sem kiderült a teljes igazság
meg,bízták,Nem bízták meg,Nem megbízták,Őket nem bízták meg a fontos feladattal,Őket nem megbízták a fontos feladattal,Őket nem amiatt bízták meg a fontos feladattal,Őket nem amiatt megbízták a fontos feladattal,Őket nem amiatt már bízták meg a fontos feladattal,Őket nem amiatt már megbízták a fontos feladattal
el,felejtsd,Ne felejtsd el,Ne elfelejtsd,Kérlek ne felejtsd el a fontos kulcsot,Kérlek ne elfelejtsd a fontos kulcsot,Kérlek ne akkoriban felejtsd el a fontos kulcsot,Kérlek ne akkoriban elfelejtsd a fontos kulcsot,Kérlek ne akkoriban talán felejtsd el a fontos kulcsot,Kérlek ne akkoriban talán elfelejtsd a fontos kulcsot
meg,rázta,Nem rázta meg,Nem megrázta,Az erős szél nem rázta meg a nagy fát,Az erős szél nem megrázta a nagy fát,Az erős szél nem aztán rázta meg a nagy fát,Az erős szél nem aztán megrázta a nagy fát,Az erős szél nem aztán pont rázta meg a nagy fát,Az erős szél nem aztán pont megrázta a nagy fát
meg,jelent,Nem jelent meg,Nem megjelent,Még nem jelent meg a fontos tanú,Még nem megjelent a fontos tanú,Még nem este jelent meg a fontos tanú,Még nem este megjelent a fontos tanú,Még nem este sem jelent meg a fontos tanú,Még nem este sem megjelent a fontos tanú
ki,lábal,Nem lábal ki,Nem kilábal,Ő nem lábal ki a nehéz problémából,Ő nem kilábal a nehéz problémából,Ő nem ezért lábal ki a nehéz problémából,Ő nem ezért kilábal a nehéz problémából,Ő nem ezért ugyan lábal ki a nehéz problémából,Ő nem ezért ugyan kilábal a nehéz problémából
el,intézte,Nem intézte el,Nem elintézte,Ő nem intézte el a sürgős ügyet,Ő nem elintézte a sürgős ügyet,Ő nem akkoriban intézte el a sürgős ügyet,Ő nem akkoriban elintézte a sürgős ügyet,Ő nem akkoriban már intézte el a sürgős ügyet,Ő nem akkoriban már elintézte a sürgős ügyet
fel,kínálják,Nem kínálják fel,Nem felkínálják,Neki nem kínálják fel a vezető állást,Neki nem felkínálják a vezető állást,Neki nem azért kínálják fel a vezető állást,Neki nem azért felkínálják a vezető állást,Neki nem azért csak kínálják fel a vezető állást,Neki nem azért csak felkínálják a vezető állást
